,sensorValue
0,0.10779506225217461
1,0.10015736693967447
2,0.05052846068967454
3,0.007908831783424608
4,-0.014633648685325573
5,-0.03541978149782543
6,-0.04752085571657538
7,-0.01783213501345049
8,0.05543495483029948
9,0.12058095092404941
10,0.13049061889279967
11,0.10192177123654966
12,0.08779848022092462
13,0.10292079467404958
14,0.10974476928342458
15,0.0810872985802995
16,0.04396229858029943
17,0.03839515990842446
18,0.05553969115842472
19,0.053058245845924557
20,0.023514544674049676
21,0.006660052486549661
22,0.02703529662717452
23,0.052075335689674374
24,0.03565590209592462
25,-0.014375836185325452
26,-0.04507163696657557
27,-0.03299473266970043
28,-0.01553599243532533
29,-0.03139951782595052
30,-0.06070151977907545
31,-0.055899761966575534
32,-0.015165386966575323
33,0.013685443111549622
34,0.005008441158424581
35,-0.005432965091575426
36,0.027760394283424583
37,0.09354286498654951
38,0.14205189818967456
39,0.15772206420529944
40,0.1745684997521746
41,0.21427162475217432
42,0.2463612243615494
43,0.2331886169396744
44,0.1912296325646745
45,0.17234486693967455
46,0.18876430053342452
47,0.1946617614709245
48,0.15560316772092442
49,0.10056825561154947
50,0.07812245483029967
51,0.08633217162717455
52,0.08236830443967458
53,0.052397601314674525
54,0.030427142330299528
55,0.03891078490842448
56,0.047813372799049514
57,0.019574847408424523
58,-0.029731793216575486
59,-0.050646832279075626
60,-0.03276914673220044
61,-0.02132066040407543
62,-0.05192783813845048
63,-0.09839048462282562
64,-0.11067686157595058
65,-0.08913340454470053
66,-0.08491978149782553
67,-0.12274570923220063
68,-0.16253745727907543
69,-0.15813853149782542
70,-0.12401060181032553
71,-0.11215928345095039
72,-0.13552354126345034
73,-0.15165293579470052
74,-0.12771665649782538
75,-0.08845664673220033
76,-0.07567881470095039
77,-0.08449277954470058
78,-0.07765269165407562
79,-0.052233990482200454
80,-0.04760142212282559
81,-0.07994077759157547
82,-0.10799400024782546
83,-0.08697422485720052
84,-0.03384067993532547
85,-0.006939556888450493
86,-0.02599351196657551
87,-0.05061460571657528
88,-0.04802036743532545
89,-0.042139019779075415
90,-0.06836338501345063
91,-0.10942808227907541
92,-0.11421372681032538
93,-0.07146519165407539
94,-0.02942564087282551
95,-0.03052134399782558
96,-0.05618174438845047
97,-0.06394834595095045
98,-0.05413535766970057
99,-0.05812339477907558
100,-0.07472813110720034
101,-0.06734019165407545
102,-0.02721812134157542
103,0.0020435974084245245
104,-0.016486676029075387
105,-0.05715659790407557
106,-0.06572886352907559
107,-0.03757090454470058
108,-0.023560406497825426
109,-0.051935894779075564
110,-0.08545151977907528
111,-0.0780635803259504
112,-0.04304942016970048
113,-0.03145591431032546
114,-0.05544053345095046
115,-0.07154575806032537
116,-0.04708579712282557
117,-0.009823834232200568
118,-0.006141949466575536
119,-0.030553570560325483
120,-0.03598374634157553
121,-0.009251812747825383
122,0.00931874389279952
123,-0.006786480716575394
124,-0.02723423462282537
125,-0.014496685794700426
126,0.014515277095924484
127,0.013653216549049496
128,-0.01789658813845052
129,-0.03094028931032544
130,-0.0013240783728254435
131,0.033907611080299604
132,0.035381976314674546
133,0.020767230220924526
134,0.03320668334592458
135,0.06889760131467448
136,0.07759877318967456
137,0.03978090209592455
138,0.0011412536584245458
139,0.008770892330299374
140,0.04313246459592457
141,0.04631483764279953
142,0.006635882564674622
143,-0.024092144779075397
144,-0.006206402591575566
145,0.032489642330299606
146,0.043486956783424624
147,0.03049159545529956
148,0.03402040404904949
149,0.058182269283424626
150,0.06488539428342444
151,0.042520159908424615
152,0.030290179439674603
153,0.0573282653771745
154,0.09472719115842443
155,0.09806264037717449
156,0.07656752318967452
157,0.08010438842404954
158,0.12108851928342457
159,0.15346815795529967
160,0.14431581420529938
161,0.12577748412717438
162,0.14582240600217466
163,0.19366273803342438
164,0.21471473998654944
165,0.19322767943967456
166,0.17443153686154966
167,0.19308265990842455
168,0.21966957397092468
169,0.2060941345177998
170,0.16186317748654955
171,0.14454140014279937
172,0.17681630248654967
173,0.21602797240842464
174,0.22084584350217473
175,0.20847890014279935
176,0.21650331420529945
177,0.2360245544396744
178,0.22654188842404932
179,0.18682265014279942
180,0.16162147826779938
181,0.17161976928342448
182,0.1789593688927995
183,0.14401771850217449
184,0.08837050170529959
185,0.06698012084592442
186,0.08691224975217438
187,0.09319642943967454
188,0.04857069701779948
189,-0.011435162357200435
190,-0.03096445923220048
191,-0.013449322513450435
192,-0.01054893188845063
193,-0.040527691654075326
194,-0.06460093384157539
195,-0.05761582641970042
196,-0.05439317016970047
197,-0.09354038696657563
198,-0.14949375610720028
199,-0.1606522033728255
200,-0.11613926391970053
201,-0.07576743774782546
202,-0.08858555298220039
203,-0.1275232971228255
204,-0.1350965393103254
205,-0.10732529907595034
206,-0.09325034790407538
207,-0.11700132446657552
208,-0.1417029846228255
209,-0.12627451782595034
210,-0.09041441040407538
211,-0.09065610962282533
212,-0.13723960571657545
213,-0.17351060181032563
214,-0.15152402954470046
215,-0.0971658752478255
216,-0.07144102173220057
217,-0.08501646118532546
218,-0.09076890259157544
219,-0.06012949829470049
220,-0.02445469360720054
221,-0.020563336185325465
222,-0.029586773685325474
223,-0.005159039310325575
224,0.051922259517799496
225,0.08575209350217472
226,0.06140492553342458
227,0.015925189205299617
228,0.00770741576779943
229,0.03492274779904947
230,0.042842425533424544
231,0.009979388424049551
232,-0.01911314087282534
233,-0.003136822513450488
234,0.03132948608029951
235,0.028251849361549564
236,-0.013336529544700326
237,-0.03641074829470048
238,-0.009010113529075436
239,0.028211566158424572
240,0.019671527095924457
241,-0.025856549075950586
242,-0.05115440063845034
243,-0.03640269165407539
244,-0.024736676029075477
245,-0.051009381107200324
246,-0.0871273010290754
247,-0.08831968384157562
248,-0.06715488891970045
249,-0.07768491821657553
250,-0.13010947876345047
251,-0.17032822876345044
252,-0.15984653931032544
253,-0.13295347290407533
254,-0.14297593384157548
255,-0.18052793579470028
256,-0.18939024048220032
257,-0.15573765259157546
258,-0.13169663696657552
259,-0.15481919556032553
260,-0.19040537720095063
261,-0.18588560181032543
262,-0.1506861389197005
263,-0.14078452759157534
264,-0.17309971313845063
265,-0.19809141235720062
266,-0.17012681274782548
267,-0.11364976196657528
268,-0.08730454712282554
269,-0.09828574829470038
270,-0.09812461548220042
271,-0.06527769165407538
272,-0.042292095950950515
273,-0.06683262329470052
274,-0.10549644165407557
275,-0.09698862915407558
276,-0.04213096313845033
277,-0.0037169006384505376
278,-0.014263043216575566
279,-0.03124644165407542
280,-0.004385601810325435
281,0.048643206783424375
282,0.06891371459592444
283,0.04398646850217447
284,0.024086566158424416
285,0.04289076537717462
286,0.0653849060021745
287,0.04402675170529946
288,-0.003225445560325335
289,-0.01431943970095051
290,0.026382708736549576
291,0.06616640014279951
